sample_id,waum,true_label
0,0.9233301451551,3
1,0.9560662230378351,8
2,0.9811994589308191,8
3,0.9444839817510061,0
4,0.9744266681946551,6
5,0.9599539571828261,6
6,0.9621204693723361,1
7,0.9667993012735331,6
8,0.955930141186873,3
9,0.9467490825221151,1
10,0.9446003133659631,0
11,0.9564774759802561,9
12,0.9195151924599271,5
13,0.9536075005397031,7
14,0.9398337115891731,9
15,0.9612648703057021,8
16,0.9320831526113831,5
17,0.960297952592671,7
18,0.956230945491179,8
19,0.937562585663777,6
20,0.9400579697000581,7
21,0.9356586196517441,0
22,0.8882226555657651,4
23,0.9544811935408811,9
24,0.8690004853445671,5
25,0.9193701007045281,2
26,0.869111372888946,4
27,0.9557314915201731,0
28,0.9295063084428661,9
29,0.9364827656733611,6
30,0.8918904819038951,6
31,0.877309563853868,5
32,0.881746604191409,4
33,0.904042411488525,5
34,0.907764585668791,9
35,0.8601368103483411,2
36,0.8775674627709371,4
37,0.8731221035138821,1
38,0.8213423917118791,9
39,0.8665781595645481,5
40,0.8250427743788721,4
41,0.91424845169764,6
42,0.9090874440284421,5
43,0.8430379120230861,6
44,0.8206747421373811,0
45,0.9145749348309961,9
46,0.8588297369085991,3
47,0.8864702216142941,9
48,0.905500334216336,7
49,0.8820955589176511,6
50,0.9150029987694871,9
51,0.8778941256186481,8
52,0.8381447885513901,0
53,0.809731816741995,3
54,0.888939843395506,8
55,0.8739601403949191,8
56,0.9045565330690171,7
57,0.8894972795561781,7
58,0.8377767952388651,4
59,0.837510760826725,6
60,0.9036987494665121,7
61,0.8953729242326791,3
62,0.816802489842947,6
63,0.7946978655173621,3
64,0.8580124215589171,6
65,0.8888017824034111,2
66,0.8261929635613121,1
67,0.8278680766381771,2
68,0.7523845903056411,3
69,0.887004467229561,7
70,0.834023037086929,2
71,0.9072227937241181,6
72,0.817481021757343,8
73,0.9434943447906551,8
74,0.848904519534416,0
75,0.8608789276538551,2
76,0.8801356162595481,9
77,0.871600794742436,3
78,0.8838042001047841,3
79,0.856267337650747,8
80,0.855688851449349,8
81,0.8534166979266201,1
82,0.859468821085521,1
83,0.8324966366631791,7
84,0.935412406835149,2
85,0.7710954423749281,5
86,0.773306694101335,2
87,0.8009559142675851,7
88,0.9158774687144281,8
89,0.8432359353062431,9
90,0.885406263634756,0
91,0.8159944271493871,3
92,0.9412562452670631,8
93,0.815249727146366,6
94,0.8521810518098311,4
95,0.814353065648284,6
96,0.7959441599643681,6
97,0.9021751449700791,0
98,0.844298696320753,0
99,0.945744971053401,7
100,0.742904664401805,4
101,0.82621271876248,5
102,0.8524613165784091,6
103,0.8978147050664621,3
104,0.9458243419310671,1
105,0.8134926021512391,1
106,0.9151407159179821,3
107,0.870734027138473,6
108,0.829495606719004,8
109,0.865352266338945,7
110,0.8666090769071001,4
111,0.8599262941543061,0
112,0.9193820364352611,6
113,0.8254178071904311,2
114,0.819013881418823,1
115,0.8193345454486071,3
116,0.8557521550756501,0
117,0.8114928999345811,4
118,0.8031286365716711,2
119,0.919119418603011,7
120,0.8125151555555331,8
121,0.882907368081234,3
122,0.8274668166483431,1
123,0.9339710139671141,2
124,0.898155107397077,8
125,0.9014844327850571,0
126,0.851340701254466,8
127,0.873193842576638,3
128,0.7971854800283771,5
129,0.8614882794265911,2
130,0.852619475336803,4
131,0.854042417325352,1
132,0.9028497213776091,8
133,0.8510739569909541,9
134,0.7154021755164971,1
135,0.805306279469819,2
136,0.8436122697817201,9
137,0.9164237203244261,7
138,0.841910791518603,2
139,0.8134095210763681,9
140,0.8618478118047491,6
